customerID,churn_probability,risk_flag,risk_band,threshold_used,model_name,MonthlyCharges,tenure,Contract,PaymentMethod,InternetService,tenure_bucket,services_count,customer_value,revenue_at_risk,top_risk_reasons,explanation_method,actual_churn
9497-QCMMS,0.9525,High,Critical,0.55,logistic_regression,93.55,1,Month-to-month,Electronic check,Fiber optic,0-12m,4,1122.6,1069.28,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
5178-LMXOP,0.9522,High,Critical,0.55,logistic_regression,95.1,1,Month-to-month,Electronic check,Fiber optic,0-12m,4,1141.2,1086.65,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
9300-AGZNL,0.952,High,Critical,0.55,logistic_regression,94.0,1,Month-to-month,Electronic check,Fiber optic,0-12m,4,1128.0,1073.86,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
2720-WGKHP,0.9509,High,Critical,0.55,logistic_regression,94.0,2,Month-to-month,Electronic check,Fiber optic,0-12m,4,1128.0,1072.62,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
7024-OHCCK,0.9502,High,Critical,0.55,logistic_regression,93.85,2,Month-to-month,Electronic check,Fiber optic,0-12m,4,1126.2,1070.12,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
4424-TKOPW,0.95,High,Critical,0.55,logistic_regression,93.85,2,Month-to-month,Electronic check,Fiber optic,0-12m,4,1126.2,1069.89,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
7216-EWTRS,0.95,High,Critical,0.55,logistic_regression,100.8,1,Month-to-month,Electronic check,Fiber optic,0-12m,5,1209.6,1149.12,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
5567-WSELE,0.9498,High,Critical,0.55,logistic_regression,94.6,3,Month-to-month,Electronic check,Fiber optic,0-12m,4,1135.2,1078.21,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
5150-ITWWB,0.9454,High,Critical,0.55,logistic_regression,94.85,3,Month-to-month,Electronic check,Fiber optic,0-12m,4,1138.2,1076.05,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,No
8098-LLAZX,0.9438,High,Critical,0.55,logistic_regression,95.45,4,Month-to-month,Electronic check,Fiber optic,0-12m,4,1145.4,1081.03,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
1374-DMZUI,0.9437,High,Critical,0.55,logistic_regression,94.3,4,Month-to-month,Electronic check,Fiber optic,0-12m,4,1131.6,1067.89,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
6861-XWTWQ,0.9436,High,Critical,0.55,logistic_regression,99.25,7,Month-to-month,Electronic check,Fiber optic,0-12m,5,1191.0,1123.83,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
8149-RSOUN,0.9428,High,Critical,0.55,logistic_regression,93.85,1,Month-to-month,Electronic check,Fiber optic,0-12m,4,1126.2,1061.78,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
0295-PPHDO,0.9425,High,Critical,0.55,logistic_regression,95.45,1,Month-to-month,Electronic check,Fiber optic,0-12m,4,1145.4,1079.54,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
4910-GMJOT,0.9419,High,Critical,0.55,logistic_regression,94.6,1,Month-to-month,Electronic check,Fiber optic,0-12m,4,1135.2,1069.24,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
5419-JPRRN,0.9411,High,Critical,0.55,logistic_regression,101.45,1,Month-to-month,Electronic check,Fiber optic,0-12m,5,1217.4,1145.7,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
6496-SLWHQ,0.941,High,Critical,0.55,logistic_regression,105.0,3,Month-to-month,Electronic check,Fiber optic,0-12m,6,1260.0,1185.66,Tenure; Services subscribed; Month-to-month contract,shap,Yes
8884-ADFVN,0.9403,High,Critical,0.55,logistic_regression,101.95,7,Month-to-month,Electronic check,Fiber optic,0-12m,5,1223.4,1150.36,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
3158-MOERK,0.9396,High,Critical,0.55,logistic_regression,96.0,2,Month-to-month,Electronic check,Fiber optic,0-12m,4,1152.0,1082.42,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
1400-MMYXY,0.9395,High,Critical,0.55,logistic_regression,105.9,3,Month-to-month,Electronic check,Fiber optic,0-12m,6,1270.8,1193.92,Tenure; Services subscribed; Month-to-month contract,shap,Yes
7851-WZEKY,0.9389,High,Critical,0.55,logistic_regression,95.15,2,Month-to-month,Electronic check,Fiber optic,0-12m,4,1141.8,1072.04,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
3049-SOLAY,0.9387,High,Critical,0.55,logistic_regression,95.2,3,Month-to-month,Electronic check,Fiber optic,0-12m,4,1142.4,1072.37,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
4822-RVYBB,0.938,High,Critical,0.55,logistic_regression,100.6,8,Month-to-month,Electronic check,Fiber optic,0-12m,5,1207.2,1132.35,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
3068-OMWZA,0.9372,High,Critical,0.55,logistic_regression,88.8,1,Month-to-month,Electronic check,Fiber optic,0-12m,4,1065.6,998.68,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
4826-XTSOH,0.9364,High,Critical,0.55,logistic_regression,86.05,1,Month-to-month,Electronic check,Fiber optic,0-12m,3,1032.6,966.93,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
6023-YEBUP,0.9363,High,Critical,0.55,logistic_regression,100.95,3,Month-to-month,Electronic check,Fiber optic,0-12m,5,1211.4,1134.23,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
0781-LKXBR,0.9362,High,Critical,0.55,logistic_regression,100.5,9,Month-to-month,Electronic check,Fiber optic,0-12m,5,1206.0,1129.06,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
1069-XAIEM,0.9358,High,Critical,0.55,logistic_regression,85.05,1,Month-to-month,Electronic check,Fiber optic,0-12m,3,1020.6,955.08,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
9057-SIHCH,0.9356,High,Critical,0.55,logistic_regression,96.6,3,Month-to-month,Electronic check,Fiber optic,0-12m,4,1159.2,1084.55,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
2446-BEGGB,0.9355,High,Critical,0.55,logistic_regression,98.25,6,Month-to-month,Electronic check,Fiber optic,0-12m,5,1179.0,1102.95,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
2660-EMUBI,0.9353,High,Critical,0.55,logistic_regression,95.35,10,Month-to-month,Electronic check,Fiber optic,0-12m,4,1144.2,1070.17,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
4695-WJZUE,0.9351,High,Critical,0.55,logistic_regression,88.55,2,Month-to-month,Electronic check,Fiber optic,0-12m,4,1062.6,993.64,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
1415-YFWLT,0.9349,High,Critical,0.55,logistic_regression,89.3,1,Month-to-month,Electronic check,Fiber optic,0-12m,3,1071.6,1001.84,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,Yes
2545-EBUPK,0.9335,High,Critical,0.55,logistic_regression,84.05,2,Month-to-month,Electronic check,Fiber optic,0-12m,3,1008.6,941.53,Tenure; Month-to-month contract; Internet Service: Fiber optic,shap,No
